value,gas,gasPrice,fee
0.0,95586,21.771091641,2081011.5655966261
0.0,44532,22.701091641,1010925.012957012
0.0,51522,21.821091641,1124266.283527602
0.435892613880198,21000,27.571091641,578992.924461
0.0,46528,21.821091641,1015291.7518724479
0.0,46364,21.821091641,1011713.092843324
0.0,50000,21.921091641,1096054.58205
0.071200000000009,39808,21.821091641,868654.016044928
0.0,55606,25.383909306,1411497.6608694359
3.0603927605043353,21000,23.721091641,498142.924461
0.0,69529,21.811091641,1516503.390707089
0.0,21000,21.821091641,458242.92446099996
0.05,21000,21.821091641,458242.92446099996
0.002,21000,21.821091641,458242.92446099996
0.10418045344644501,21000,21.821091641,458242.92446099996
0.15156,21000,21.821091641,458242.92446099996
0.024540099320230095,21000,21.821091641,458242.92446099996
0.049409709507404,21000,21.821091641,458242.92446099996
0.031048202694241,21000,26.276062179,551797.305759
0.00712346,21000,22.721091641,477142.924461
0.174,21055,23.1,486370.50000000006
0.604526990337755,21000,22.767595123,478119.497583
0.0,64200,21.905051816,1406304.3265872
0.0,700000,27.721091641,19404764.1487
0.0,650000,27.721091641,18018709.56665
0.5,231440,26.721091641,6184329.4493930405
0.1,228163,26.721091641,6096764.432085483
0.0,247812,24.721091641,6126183.161739492
0.2,265104,24.721091641,6553660.278395664
0.05,280382,24.721091641,6931349.116486862
0.0,6000000,23.111345635,138668073.81
0.0,6000000,23.111345635,138668073.81
